Restaurant,Address,Contact Name,Role,Phone,Email,Cuisine/Type,Approx Seats,Status,Date Contacted,Method,Outcome / Notes,Next Action,Next Date
EXAMPLE - Harvest & Rye,123 Main St,Dana Ruiz,Owner,555-0100,dana@example.com,Gastropub,60,Demo done,2026-07-28,Walk-in,Liked waste tracking; uses spreadsheet now,Set up trial on site,2026-07-31
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
,,,,,,,,Not contacted,,,,,
STATUS OPTIONS:,Not contacted / Contacted / Demo booked / Demo done / Trial started / WON / Lost,,,,,,,,,,,,
